Student,Vaccin,HndWshQual,HndWshFreq,SociDist,NoFaceContact,RespEttiqu,PersnDist,HandSanit,Risk,Complications,Barriers,Inefficacy,KnowlTrans,KnowlMgmt,Sick,Flu,Female
119,4,4,3,5,2,3,3,5,-0.169,-0.376,-0.448,-0.47,1.393,0.684,1,0,1
120,2,5,5,5,2,5,4,4,0.575,-0.376,-0.101,-0.149,0.554,0.335,1,0,1
121,3,4,4,2,2,5,3,5,0,-0.77,-0.658,0.327,-0.182,0.684,1,0,1
122,1,5,3,3,1,5,4,2,0.575,-0.77,-0.621,-0.499,1.393,0.335,2,1,1
123,2,5,4,3,3,5,4,5,-0.169,-0.169,-0.328,0.327,0.182,0.335,2,1,1
124,2,4,5,5,2,5,3,4,0,-0.169,-0.684,0,-0.951,0.684,1,0,1
125,2,5,3,2,5,5,4,1,-1.074,-0.575,-0.652,0.141,0.951,1.482,0,0,1
126,5,4,2,2,1,2,5,5,0.169,0.376,0.11,0.327,-0.182,0.684,1,0,0
127,1,5,3,5,5,5,4,2,0,0.575,0.215,-0.141,-0.554,-1.482,1,0,0
128,5,5,3,3,1,5,1,5,-0.77,-0.77,-0.941,-1.036,1.393,1.059,0,0,1
129,5,4,4,2,2,3,3,2,0.181,-0.77,-0.684,-0.793,0.182,1.059,2,1,1
130,4,1,2,4,4,5,1,1,-0.231,0.345,0,0.499,-1.393,-0.684,2,1,1
131,5,3,3,4,2,1,3,5,-0.169,0.532,-0.234,0.793,-0.951,-0.335,1,0,1
132,2,5,5,4,2,4,4,3,0.864,0.406,0,0.499,-0.182,0,1,0,
133,1,3,4,1,1,2,2,4,0,-0.197,-0.543,0.327,-0.182,-0.335,2,1,
134,1,5,3,1,9,4,3,5,0.77,-0.406,0.498,0.197,-0.182,-0.684,1,0,1
135,5,4,2,1,2,1,4,3,0,-0.575,0.515,0,-1.393,-1.059,1,0,0
136,4,3,4,2,3,3,4,2,0.575,-0.575,0.355,0,-0.951,-1.059,,,
137,1,2,1,3,1,5,4,2,0.575,1.074,0.346,0,-0.951,-0.335,,,1
138,4,3,1,4,5,4,2,3,0.406,0,0.256,-0.17,-1.393,-1.059,2,1,1
139,5,3,4,5,5,2,3,5,0,-0.406,0.498,0,-0.951,-0.684,0,0,
140,4,3,4,2,3,3,3,1,-0.376,-0.169,-0.566,0,0.182,-0.335,0,0,1
141,4,2,1,5,4,1,5,5,0,0.735,-0.215,0.327,-0.951,-1.482,2,1,1
142,4,3,1,2,3,3,2,1,0.169,0.406,0.346,-0.327,0.182,-0.684,1,0,1
143,3,2,5,1,5,4,2,5,0,1.074,0,-0.793,-0.554,0.335,1,0,0
144,2,4,4,3,5,4,3,1,0,-0.197,-0.786,-0.633,-0.182,0,,,0
145,2,4,4,3,1,5,3,5,-0.345,-1.453,-0.34,-0.546,-0.182,1.482,1,0,1
146,1,5,2,2,1,9,5,1,0.406,1.074,0.498,0.327,-0.951,-1.482,0,0,0
147,2,5,5,4,5,5,5,1,0.575,0.169,0.105,-0.546,-0.951,-0.684,1,0,1
148,3,1,1,2,2,1,5,3,-0.864,0.376,0.468,-0.327,-0.554,0,1,0,
149,3,4,3,2,2,5,1,3,-0.345,-0.575,-0.314,0.693,0.182,0,1,0,1
150,4,4,4,3,2,5,4,4,0.169,-0.77,-0.684,-0.149,0.951,0.335,1,0,0
151,5,5,5,5,5,5,3,5,1.074,0,-0.516,-0.436,-0.554,0.335,1,0,1
152,2,4,3,3,2,5,3,4,1.453,0,-0.566,0.304,-1.393,-1.482,1,0,0
153,3,2,3,5,2,5,3,3,-1.074,-0.345,-0.289,-0.738,-0.182,0.684,1,0,1
154,2,5,4,5,4,5,3,4,-0.169,-0.77,-0.448,0,0.554,0.684,0,0,1
155,5,4,3,5,4,3,4,5,-0.575,-0.169,-0.684,-0.693,-1.393,0,0,0,1
156,5,5,5,2,5,3,3,5,0.169,-0.197,-0.733,-1.336,-0.951,-0.335,0,0,0
157,4,4,4,2,4,5,2,4,0,-0.169,-0.684,-0.406,1.393,1.059,1,0,0
158,2,5,3,5,2,3,4,5,-0.169,0.345,0.259,-0.633,-0.554,-1.482,0,0,0
159,2,5,3,2,2,5,2,5,0.169,-0.231,-0.543,-0.37,-0.554,-0.684,1,0,0
160,5,4,2,3,2,3,5,1,1.074,0,-0.448,0.37,0.951,0.684,2,1,1
